brightness,      y,      x, calibrated magnitude
6.478706e+03,   2872,   1175, 1.577128e+01
2.272776e+04,    274,   1883, 1.440861e+01
8.004608e+03,   4388,   1342, 1.554165e+01
2.042291e+04,   1682,    788, 1.452471e+01
1.494678e+04,    765,   1249, 1.486363e+01
8.761215e+03,   4058,   1968, 1.544359e+01
6.460705e+03,   1474,   2007, 1.577430e+01
1.030537e+03,   3190,   1199, 1.776734e+01
1.045963e+03,   1783,   1398, 1.775121e+01
1.346285e+04,   2364,    689, 1.497716e+01
2.086443e+04,    848,   2344, 1.450148e+01
1.833339e+04,    406,    503, 1.464189e+01
1.406079e+04,   1941,   2022, 1.492998e+01
1.384523e+04,    478,    214, 1.494675e+01
9.721252e+03,   4310,    433, 1.533069e+01
1.619758e+04,   3219,    525, 1.477637e+01
1.052015e+04,   2806,   1507, 1.524494e+01
7.288466e+03,   1611,   2120, 1.564341e+01
1.818835e+04,   2799,   2204, 1.465052e+01
7.610358e+03,   3158,    485, 1.559649e+01
1.111188e+04,    891,    744, 1.518553e+01
8.689411e+03,   2741,   2000, 1.545252e+01
1.307314e+04,   2243,   2050, 1.500905e+01
7.046695e+03,   3739,    518, 1.568004e+01
5.406775e+04,   1305,   2069, 1.346765e+01
9.129510e+03,   3544,   2262, 1.539888e+01
1.804659e+04,   1217,   2176, 1.465901e+01
7.826482e+03,   3351,    613, 1.556608e+01
1.191578e+04,   4046,   1184, 1.510969e+01
8.668108e+03,   3539,    940, 1.545519e+01
1.187678e+04,   2884,    918, 1.511325e+01
1.416842e+04,   4330,   1615, 1.492170e+01
2.666944e+04,   1442,   2223, 1.423497e+01
1.316620e+04,    308,    653, 1.500135e+01
5.701650e+03,   3551,   1624, 1.591000e+01
1.746610e+04,    771,   1862, 1.469451e+01
1.336938e+04,   2586,   2036, 1.498472e+01
7.668981e+02,   3506,   1420, 1.808816e+01
1.120603e+04,   3182,   1714, 1.517637e+01
8.188839e+03,   2741,   2187, 1.551694e+01
7.788128e+03,   2744,   1000, 1.557142e+01
8.936416e+03,   1159,    768, 1.542209e+01
1.987434e+04,    501,   2108, 1.455427e+01
1.015154e+04,   2255,   2070, 1.528367e+01
2.018589e+04,   2333,    951, 1.453738e+01
6.194713e+03,   2549,   1006, 1.581995e+01
2.277574e+03,   1948,   1060, 1.690632e+01
6.652063e+03,   2323,   1910, 1.574261e+01
8.281566e+03,    602,   1691, 1.550472e+01
9.459042e+03,   2390,   2070, 1.536038e+01
6.179464e+03,   4320,   2118, 1.582262e+01
1.262926e+03,   2192,   1424, 1.754656e+01
8.758900e+03,   3668,    660, 1.544388e+01
6.501887e+03,   4242,   1152, 1.576740e+01
8.123152e+03,   4345,   2111, 1.552569e+01
1.257634e+04,   1429,    838, 1.505111e+01
8.992346e+03,   3756,   1053, 1.541532e+01
6.943942e+03,   3067,   1764, 1.569598e+01
8.608163e+03,   1876,    635, 1.546272e+01
1.393044e+04,   2887,   1137, 1.494009e+01
1.329938e+04,   2937,    386, 1.499042e+01
2.098651e+04,    356,    773, 1.449515e+01
1.141678e+04,   4224,   2284, 1.515614e+01
9.354516e+03,   3304,    856, 1.537245e+01
5.061745e+03,   3543,   1355, 1.603925e+01
1.061124e+04,   2430,   1914, 1.523558e+01
8.801348e+03,   3923,    201, 1.543863e+01
1.595629e+04,   1369,   2290, 1.479267e+01
6.631944e+02,   2334,   2369, 1.824590e+01
3.243971e+04,   4373,    274, 1.402231e+01
6.325071e+03,   3597,    623, 1.579734e+01
1.162734e+04,   3472,   1010, 1.513630e+01
1.117720e+04,    267,   1369, 1.517917e+01
